id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24469,Fortezza/City Centre Modern Apt 2+2,99178,Benedetta And Lorenzo,,Centro Storico,43.7821,11.24392,Entire home/apt,70,2,1,2019-09-27,0.04,4,353,0,
24470,Fortezza/City Centre Modern Apt 2+1,99178,Benedetta And Lorenzo,,Centro Storico,43.78202,11.24399,Entire home/apt,70,2,3,2010-10-22,0.10,4,49,0,
24471,Fortezza/City Centre Modern Apt 4+2,99178,Benedetta And Lorenzo,,Centro Storico,43.78202,11.24399,Entire home/apt,135,2,0,,,4,49,0,
24472,Fortezza/City Centre Modern Apt 4+2,99178,Benedetta And Lorenzo,,Centro Storico,43.78202,11.24399,Entire home/apt,120,2,2,2012-04-11,0.02,4,363,0,
31840,A Residenza Martin  Classic room,380378,Officina 360,,Centro Storico,43.77709,11.25216,Private room,67,1,119,2019-12-20,1.15,26,351,0,
32120,Welcome at Corte Verde in Florence,99235,Lucia,,Gavinana Galluzzo,43.76352,11.27726,Entire home/apt,75,1,15,2018-06-19,0.24,1,89,0,
32180,Charming Gem - Oltrarno City centre,13925330,Cesare,,Centro Storico,43.76832,11.24348,Entire home/apt,89,3,20,2020-03-31,0.48,2,241,0,
32395,your room in florence,140170,Fabio,,Centro Storico,43.76268,11.24149,Hotel room,70,1,523,2021-09-22,4.55,5,351,11,
39115,Central Double Shared Bathroom,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,55,2,50,2017-04-22,0.63,11,325,2,
39165,Florence Central Double Private Bathroom,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,70,2,15,2014-07-11,0.49,11,327,1,
39822,Apartment Santa Monaca,154769,Matilde,,Centro Storico,43.76742,11.24378,Entire home/apt,75,4,25,2019-06-24,0.35,4,79,0,
42997,Pinzochere 2DX Studio,4156491,Apartments Florence,,Centro Storico,43.76944,11.26331,Entire home/apt,107,3,2,2012-06-21,0.03,136,0,0,048017LTN4061
43365,Pinzochere 2SX by Santa Croce,4156491,Apartments Florence,,Centro Storico,43.76944,11.26331,Entire home/apt,158,3,1,2011-10-14,0.01,136,0,0,048017LTN4277
43369,Pinzochere Mansarda at SANTA CROCE,4156491,Apartments Florence,,Centro Storico,43.76944,11.26331,Entire home/apt,142,3,7,2017-10-08,0.12,136,0,0,048017LTN4271
44781,Stylish Terrace on Boboli Gardens,33210,Rocco,,Centro Storico,43.76418,11.24618,Entire home/apt,120,3,301,2021-10-02,2.90,1,218,20,
45606,MATTEO Apart. Florence Centre,202686,Tarcisio,,Isolotto Legnaia,43.7728,11.23746,Entire home/apt,56,4,407,2019-10-16,3.95,3,335,4,
46520,A Residenza Martin:  Superior room,380378,Officina 360,,Centro Storico,43.77699,11.25216,Private room,73,1,92,2019-12-14,0.80,26,351,5,
46523,A Residenza Martin:  Single room,380378,Officina 360,,Centro Storico,43.77704,11.25217,Private room,40,1,207,2021-09-08,2.04,26,332,7,
46524,A Residenza Martin:  Deluxe room,380378,Officina 360,,Centro Storico,43.777,11.25216,Private room,67,1,76,2019-12-19,2.42,26,356,11,
47498,Leonardo House,215302,Darko,,Centro Storico,43.77386,11.25028,Private room,57,1,488,2021-08-31,4.83,3,352,4,
48372,Central Single Shared Bathroom,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,49,2,4,2015-08-02,0.06,11,245,0,
